what,kind,bundleId,bundleVersion,description,time
activated,editor,org.topcased.modeler.uml,3.0.10.201102071539,"org.topcased.modeler.uml.editor.UMLEditor",1362174307667
started,bundle,org.topcased.modeler.uml.classdiagram.signatureparser,1.0.0.201102071539,"org.topcased.modeler.uml.classdiagram.signatureparser",1362174341287
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1362174375657
activated,editor,org.topcased.modeler.uml,3.0.10.201102071539,"org.topcased.modeler.uml.editor.UMLEditor",1362174380067
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1362174405807
activated,editor,org.topcased.modeler.uml,3.0.10.201102071539,"org.topcased.modeler.uml.editor.UMLEditor",1362174409567
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362174624027
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362174688157
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362174731017
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362174739147
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362174899688
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362174920298
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1362174979078
activated,editor,org.topcased.modeler.uml,3.0.10.201102071539,"org.topcased.modeler.uml.editor.UMLEditor",1362174983258
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1362174989378
activated,editor,org.topcased.modeler.uml,3.0.10.201102071539,"org.topcased.modeler.uml.editor.UMLEditor",1362175001008
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1362175019718
activated,editor,org.topcased.modeler.uml,3.0.10.201102071539,"org.topcased.modeler.uml.editor.UMLEditor",1362175023208
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1362175025268
activated,editor,org.topcased.modeler.uml,3.0.10.201102071539,"org.topcased.modeler.uml.editor.UMLEditor",1362175027638
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1362175116329
activated,editor,org.topcased.modeler.uml,3.0.10.201102071539,"org.topcased.modeler.uml.editor.UMLEditor",1362175117509
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1362175118839
activated,editor,org.topcased.modeler.uml,3.0.10.201102071539,"org.topcased.modeler.uml.editor.UMLEditor",1362175122689
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1362175123919
activated,editor,org.topcased.modeler.uml,3.0.10.201102071539,"org.topcased.modeler.uml.editor.UMLEditor",1362175128099
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362175163469
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362175164199
